"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-01 00:00:00","C01-3085737-4750220'","基本","B0018JJ7N8","1","119.00000","2015-02-03 10:58:02","1","117.08000","有效","正常","0.89500","0.89500","1051870","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-01 00:00:00","C01-6380418-6284656'","基本","B0050JZ6YQ","1","39.00000","2015-02-03 14:19:50","1","39.00000","无效","正常","0.39000","0.0000","APIMemberId","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-01 00:00:00","C01-6380418-6284656'","基本","B007V051BK","1","19.90000","2015-02-03 14:19:50","1","19.90000","无效","正常","0.20000","0.0000","APIMemberId","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-01 10:12:54","366222959'","A","","1","264.00000","","0","0.00000","未确认","正常","9.24000","0.0000","1065339","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-01 10:12:54","366222959'","A","11671852","1","88.00000","2014-11-29 16:12:02","1","88.00000","有效","正常","3.08000","3.08000","1065339","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-01 10:12:54","366222959'","A","11671853","1","88.00000","2014-11-29 16:12:02","1","88.00000","有效","正常","3.08000","3.08000","1065339","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-01 10:12:54","366222959'","A","11671851","1","88.00000","2014-11-29 16:12:02","1","88.00000","有效","正常","3.08000","3.08000","1065339","否"
"254","京东CPS","732204","购物客91jili","2014-10-01 11:20:06","1923792138'","0","","1","219.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1057404","否"
"139","1号店CPS","732204","购物客91jili","2014-10-01 17:45:04","1072735346369'","0000","","1","103.80000","2015-01-04 11:56:06","0","0.00000","无效","正常","0.00000","0.0000","1081303","否"
"254","京东CPS","732204","购物客91jili","2014-10-01 18:38:24","1924852551'","8","","1","419.00000","2015-02-04 21:16:54","1","419.00000","有效","正常","7.54200","7.54200","APIMemberId","否"
"254","京东CPS","732204","购物客91jili","2014-10-01 19:19:51","1925019754'","0","","1","184.20000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1167989","否"
"254","京东CPS","732204","购物客91jili","2014-10-01 19:22:30","1925092968'","0","","1","167.60000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1167989","否"
"254","京东CPS","732204","购物客91jili","2014-10-01 19:48:39","1925100361'","0","","1","358.00000","2014-11-29 10:32:50","1","358.00000","有效","正常","4.80000","4.80000","1114376","否"
