offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-10 09:29:54,198.232.218.254,,,,,,wwcn-16116,1.8,approved
1346 API_USD,2016-05-09 20:38:45,198.232.218.254,,,,,,wwcn-12406,1.8,approved
1346 API_USD,2016-05-09 20:16:14,198.232.218.254,,,,,,wwcn-2032,1.8,approved
1346 API_USD,2016-05-09 20:13:51,198.232.218.254,,,,,,wwcn-16572,1.8,approved
1346 API_USD,2016-05-09 20:09:34,198.232.218.254,,,,,,wwcn-128013,1.8,approved
1346 API_USD,2016-05-09 20:09:04,198.232.218.254,,,,,,wwcn-242031,1.8,approved
1346 API_USD,2016-05-09 20:07:18,198.232.218.254,,,,,,wwcn-361373,1.8,approved
1346 API_USD,2016-05-09 20:05:57,198.232.218.254,,,,,,wwcn-16572,1.8,approved
1346 API_USD,2016-05-09 19:50:04,198.232.218.254,,,,,,wwcn-12484,1.8,approved
1346 API_USD,2016-05-09 19:44:45,198.232.218.254,,,,,,wwcn-399421,1.8,approved
1346 API_USD,2016-05-09 19:39:29,198.232.218.254,,,,,,wwcn-242031,1.8,approved
1346 API_USD,2016-05-09 19:38:45,198.232.218.254,,,,,,wwcn-415926,1.8,approved
1346 API_USD,2016-05-09 19:35:48,198.232.218.254,,,,,,wwcn-443,1.8,approved
1346 API_USD,2016-05-09 19:33:57,198.232.218.254,,,,,,wwcn-10674,1.8,approved
1346 API_USD,2016-05-09 19:33:18,198.232.218.254,,,,,,wwcn-154263,1.8,approved
1346 API_USD,2016-05-09 19:33:06,198.232.218.254,,,,,,wwcn-379000,1.8,approved
1346 API_USD,2016-05-09 19:27:46,198.232.218.254,,,,,,wwcn-361373,1.8,approved
1346 API_USD,2016-05-09 19:21:47,198.232.218.254,,,,,,wwcn-5984,1.8,approved
1346 API_USD,2016-05-09 19:16:37,198.232.218.254,,,,,,wwcn-12406,1.8,approved
1346 API_USD,2016-05-09 19:03:53,198.232.218.254,,,,,,wwcn-205299,1.8,approved
1346 API_USD,2016-05-09 18:58:54,198.232.218.254,,,,,,wwcn-18169,1.8,approved
1346 API_USD,2016-05-09 18:56:24,198.232.218.254,,,,,,wwcn-751,1.8,approved
1346 API_USD,2016-05-09 18:50:31,198.232.218.254,,,,,,wwcn-338495,1.8,approved
1346 API_USD,2016-05-09 18:50:22,198.232.218.254,,,,,,wwcn-376600,1.8,approved
1346 API_USD,2016-05-09 18:39:29,198.232.218.254,,,,,,wwcn-36656,1.8,approved
1346 API_USD,2016-05-09 18:33:31,198.232.218.254,,,,,,wwcn-220292,1.8,approved
1346 API_USD,2016-05-09 18:30:54,198.232.218.254,,,,,,wwcn-11884,1.8,approved
1346 API_USD,2016-05-09 18:25:48,198.232.218.254,,,,,,wwcn-751,1.8,approved
1346 API_USD,2016-05-09 18:24:51,198.232.218.254,,,,,,wwcn-416860,1.8,approved
1346 API_USD,2016-05-09 18:19:30,198.232.218.254,,,,,,wwcn-337131,1.8,approved
1346 API_USD,2016-05-09 18:15:49,198.232.218.254,,,,,,wwcn-225114,1.8,approved
1346 API_USD,2016-05-09 18:12:40,198.232.218.254,,,,,,wwcn-385136,1.8,approved
1346 API_USD,2016-05-09 18:10:12,198.232.218.254,,,,,,wwcn-312605,1.8,approved
1346 API_USD,2016-05-09 18:08:17,198.232.218.254,,,,,,wwcn-361321,1.8,approved
1346 API_USD,2016-05-09 18:03:42,198.232.218.254,,,,,,wwcn-11884,1.8,approved
1346 API_USD,2016-05-09 18:02:41,198.232.218.254,,,,,,wwcn-11679,1.8,approved
1346 API_USD,2016-05-09 18:01:42,198.232.218.254,,,,,,wwcn-18533,1.8,approved
1346 API_USD,2016-05-09 17:49:15,198.232.218.254,,,,,,wwcn-193332,1.8,approved
1346 API_USD,2016-05-09 17:49:01,198.232.218.254,,,,,,wwcn-417238,1.8,approved
1346 API_USD,2016-05-09 17:46:46,198.232.218.254,,,,,,wwcn-7033,1.8,approved
1346 API_USD,2016-05-09 17:38:54,198.232.218.254,,,,,,wwcn-24831,1.8,approved
1346 API_USD,2016-05-09 17:35:16,198.232.218.254,,,,,,wwcn-225114,1.8,approved
1346 API_USD,2016-05-09 17:31:51,198.232.218.254,,,,,,wwcn-6020,1.8,approved
1346 API_USD,2016-05-09 17:24:37,198.232.218.254,,,,,,wwcn-11884,1.8,approved
1346 API_USD,2016-05-09 17:24:10,198.232.218.254,,,,,,wwcn-416168,1.8,approved
1346 API_USD,2016-05-09 17:21:40,198.232.218.254,,,,,,wwcn-11679,1.8,approved
1346 API_USD,2016-05-09 17:18:32,198.232.218.254,,,,,,wwcn-5100,1.8,approved
1346 API_USD,2016-05-09 17:17:56,198.232.218.254,,,,,,wwcn-193332,1.8,approved
1346 API_USD,2016-05-09 17:16:05,198.232.218.254,,,,,,wwcn-380485,1.8,approved
1346 API_USD,2016-05-09 17:15:57,198.232.218.254,,,,,,wwcn-11217,1.8,approved
